dataset;date;values
62293;01.02.2018;1.137026072
62293;01.03.2018;0.685640166
62293;01.04.2018;0.481237868
62293;01.05.2018;0.457759002
62293;01.06.2018;0.479416165
62293;01.07.2018;0.201523826
62293;01.08.2018;0.230494984
62293;01.09.2018;-0.247558385
62293;01.10.2018;-0.109315008
62293;01.11.2018;-0.298918076
62293;01.12.2018;-0.014599497
62293;01.01.2019;-0.177300789
62293;01.02.2019;-0.39038259
62293;01.03.2019;-0.016582936
62293;01.04.2019;0.154189998
62293;01.05.2019;0.137494056
62293;01.06.2019;0.185526979
62293;01.07.2019;-0.112383873
62293;01.08.2019;-0.266600472
62293;01.09.2019;-0.425530127
62293;01.10.2019;0.303820559
62293;01.11.2019;0.113629596
62293;01.12.2019;0.234380499
62293;01.01.2020;0.314847379
62293;01.02.2020;-0.005065133
62293;01.03.2020;-0.013883929
62293;01.04.2020;-1.40009461
62293;01.05.2020;-2.159193958
62293;01.06.2020;-2.593329415
62293;01.07.2020;-2.404199366
62293;01.08.2020;-1.802763871
62293;01.09.2020;-1.53896427699999
62293;01.10.2020;-0.94392439
62293;01.11.2020;-0.89227994
62293;01.12.2020;-0.306239578
62293;01.01.2021;-0.037475351
62293;01.02.2021;0.415527554
62293;01.03.2021;0.805707533
62293;01.04.2021;0.722062184
62293;01.05.2021;0.922148861
62293;01.06.2021;0.816343415999999
62293;01.07.2021;1.392189327
62293;01.08.2021;1.243501705
62293;01.09.2021;1.04371663182114
62293;01.10.2021;0.9220681334709
62293;01.11.2021;0.318006472314193
62293;01.12.2021;0.0616358764406062
62293;01.01.2022;0.223207091489282
62293;01.02.2022;-0.10673817676224
62293;01.03.2022;-0.144439509633056
62293;01.04.2022;-0.265622152419797
62293;01.05.2022;-0.364826854282305
62293;01.06.2022;-0.702043961537595
62293;01.07.2022;-0.834286199496258
62293;01.08.2022;-0.505984661885646
62293;01.09.2022;-0.3144209437976
62293;01.10.2022;-0.391226943937146
62293;01.11.2022;-0.794078236658376
62293;01.12.2022;-0.817975576643949
62293;01.01.2023;-0.480049268448537
62293;01.02.2023;-0.273628107742536
62293;01.03.2023;0.0840832581336721
62293;01.04.2023;0.00114222133842142
62293;01.05.2023;0.496998797214917
62293;01.06.2023;0.641249873820179
