date,goal,news,consumer_price,cb_monitor,bussines_clim,curs,rzd
1/31/2015,101.3,-1.551464015,1049.05,-20.4681225890108,-8.73467092416067,65.1530875,96.6
2/28/2015,99.8,-1.756337226,1156.01,-11.9368770956823,2.57227603997615,64.5181736842105,92.5
3/31/2015,101.9,-1.972269835,1167.5,-7.19466829125312,6.96349276892443,60.36309,103
4/30/2015,99.4,-1.53792343099999,1148.2,-6.40397960733006,4.78593484548762,53.2186954545455,99.8
5/31/2015,99,-0.836182711,1075.24,-7.89669837638563,3.18704135430957,50.4679578947369,99.9
6/30/2015,100.1,-0.845598354,1173.59,-6.59687998061275,5.40050446455982,54.44904,97.3
7/31/2015,100.2,-0.628935402,1183.02,-6.54673268398922,5.27422704384489,57.1796695652174,102.8
8/31/2015,100.7,-0.761690482,1157.66,-8.15679161266166,1.82372696591159,65.4229904761905,105.2
9/30/2015,100.5,-1.678045848,1210.04,-7.86021990173726,1.19039052135784,66.7828954545455,103.5
10/31/2015,100.2,-1.167661566,1221.62,-7.79927113337506,1.31549730391987,63.2455869565217,107
11/30/2015,100.8,-1.21505909,1181.02,-10.6223187717836,-6.25354106717629,65.0295631578947,103.1
12/31/2015,99,-0.889527245,1133.95,-12.0085267378173,-5.77513059184923,69.704847826087,104.3
1/31/2016,99.1,-1.022556978,1168.17,-21.5483974358545,-8.49107595880284,77.934425,93.8
2/29/2016,102,-1.672402188,1139.51,-8.16737096904147,6.79879422743664,77.3284947368421,95.2
3/31/2016,100.9,-1.54512814199999,1132.65,-6.41166908715215,7.5143130509428,70.4183190476191,105.1
4/30/2016,99.8,-1.12873918,1110.31,-7.60009259503535,3.83673218346399,66.6826363636364,101.4
5/31/2016,100.4,-0.730799465999999,1145.65,-7.72928169781203,4.5076363062453,65.8386555555556,102.9
6/30/2016,101.1,-0.558014066,1248.72,-5.55926981687873,6.21997617674882,65.2192666666667,101.3
7/31/2016,100.4,-0.108641535,1278.66,-4.31509232294319,7.89190726620328,64.3379681818182,104.4
8/31/2016,102.2,-0.033417964,1340.6,-2.53905962210214,8.12163641400352,64.9365272727273,105.9
9/30/2016,102.5,-0.387667794,1275.02,-0.135194149016521,5.79195349569608,64.5572045454546,102
10/31/2016,103,-0.525729409,1198.59,-1.24948132509416,3.73532519723008,62.6200047619048,103.4
11/30/2016,105.2,-0.215534104,1192.79,-6.60788613701248,-1.21745032449672,64.3137380952381,102.2
12/31/2016,103.9,0.0826448479999999,1218.24,-3.04696184467725,2.00944150674573,62.0912913043478,105.2
1/31/2017,106.6,0.392892794,1182.94,-14.4956958030497,-1.97530809595074,59.62985625,100.1
2/28/2017,101.6,0.510760847,1197.11,-6.46724142721087,5.12346963628431,58.5393611111111,96
3/31/2017,103.6,0.729786434,1160.36,-2.51977631101223,10.7040736825985,58.0066318181818,109
4/30/2017,104.3,0.913982265,1178.87,-6.81696040279707,2.94772533958721,56.4356142857143,105.3
5/31/2017,106.3,0.87315744,1135.32,-3.5100492503293,7.27583410742997,56.9500684210527,106.5
6/30/2017,105.5,0.822313455,1125.95,-2.67546735077413,7.49324002130319,57.8931761904762,103.8
7/31/2017,104.6,0.526740932,1169.43,-1.83712702835113,8.58765661804514,59.6926761904762,106.6
8/31/2017,105.1,0.346706145,1308.1,1.21218355377574,9.21557961100595,59.6127260869565,106.2
9/30/2017,104,0.315803251,1325.64,0.456648618225033,6.20437035151883,57.7446909090909,103.8
10/31/2017,102.3,0.79526395,1281.23,0.581739303832881,5.83134333480353,57.6980523809524,108.1
11/30/2017,101.1,0.753071039,1203.43,-3.93450946468989,0.0459929156443195,58.9265523809524,105.7
12/31/2017,100.3,0.542624318,1180.93,-0.597798942768521,2.86673798162221,58.5738545454546,110.2
1/31/2018,102.7,0.699308447,1207.58,-12.6926083456578,-1.05497724500148,56.4981,103.5
2/28/2018,103.2,1.137026072,1177.11,-4.57880288046263,7.45207654436607,56.8067052631579,99.8
3/31/2018,102.7,0.685640166,1174.26,0.132283196948543,11.4813004892192,57.0636047619048,112.4
4/30/2018,103.2,0.481237868,1240.79,-1.60502684435844,7.2264173130246,60.7698904761905,108.9
5/31/2018,103.5,0.457759002,1163.67,-1.39204680419819,7.66114376336276,62.2309,110.3
6/30/2018,102.1,0.479416165,1164.54,-1.48525151829084,6.48461505630323,62.7685047619048,107
7/31/2018,103.5,0.201523826,1255.75,-1.83411153075787,8.04015924150889,62.8619476190476,107.6
8/31/2018,102.8,0.230494984,1294.78,-0.803145685864307,7.53365182438299,66.0764086956522,108.4
9/30/2018,102.3,-0.247558385,1357.56,-2.75295972419428,2.64276355433671,67.6660952380952,104.5
10/31/2018,105.3,-0.109315008,1338.43,1.73255358153027,5.7572860677181,65.8545272727273,108.4
11/30/2018,104.4,-0.298918076,1299.94,-5.63523933010179,-2.43033510171966,66.355680952381,107.3
12/31/2018,106.4,-0.014599497,1291.67,-3.30183451817184,1.80448769082497,67.3353136363637,109
1/31/2019,102.7,-0.177300789,1299.33,-12.9899613946783,-1.68240564912324,66.51254375,105.4
2/28/2019,104.2,-0.39038259,1285.23,-5.73899031665711,6.5205032626022,65.810525,100
3/31/2019,102.7,-0.016582936,1338.83,-1.67343351764992,10.0599350240989,65.0922571428571,113.3
4/30/2019,105.2,0.154189998,1364.46,-1.3858718793511,7.1767369483203,64.6031047619048,107.1
5/31/2019,101,0.137494056,1309.48,-2.78868801446979,6.1669895890239,64.8187055555556,106.3
6/30/2019,103.2,0.185526979,1326.34,-3.95414710348194,6.86919828650613,64.16905,101.6
