dataset;date;Оценка изменения спроса на продукцию, товары, услуги (промышленность), пункты, Россия
62292;31.01.2002;-19.9153664435903
62292;28.02.2002;-15.087324879833
62292;31.03.2002;-7.32066176018167
62292;30.04.2002;-6.03837035117272
62292;31.05.2002;-8.84659321539201
62292;30.06.2002;-5.85913202337872
62292;31.07.2002;2.14760572544314
62292;31.08.2002;5.32413196156746
62292;30.09.2002;3.24756017016352
62292;31.10.2002;4.98891328854654
62292;30.11.2002;-2.3455775624531
62292;31.12.2002;0.616554259950302
62292;31.01.2003;-12.3871485284194
62292;28.02.2003;-5.06763480858879
62292;31.03.2003;1.29128174796763
62292;30.04.2003;-0.212772397222017
62292;31.05.2003;-2.74720156737697
62292;30.06.2003;1.12349717916043
62292;31.07.2003;6.28425265851264
62292;31.08.2003;4.95089987584776
62292;30.09.2003;10.6270965423476
62292;31.10.2003;9.45440121725706
62292;30.11.2003;-0.225708804060558
62292;31.12.2003;3.67072846614352
62292;31.01.2004;-9.57223547571257
62292;29.02.2004;-1.57878784063907
62292;31.03.2004;5.80437494726584
62292;30.04.2004;0.311241975456949
62292;31.05.2004;0.819074544604716
62292;30.06.2004;4.78100469811445
62292;31.07.2004;3.91955095382524
62292;31.08.2004;5.1833360905939
62292;30.09.2004;6.54766242129056
62292;31.10.2004;3.30808944900023
62292;30.11.2004;-1.39548941315829
62292;31.12.2004;0.063955155117174
62292;31.01.2005;-13.4955562855343
62292;28.02.2005;-4.11215545027277
62292;31.03.2005;3.84000112993013
62292;30.04.2005;-1.69156474081431
62292;31.05.2005;-0.495339304792656
62292;30.06.2005;1.92386594885685
62292;31.07.2005;3.14674311181316
62292;31.08.2005;7.35219146706405
62292;30.09.2005;6.00814898397213
62292;31.10.2005;4.03858959490085
62292;30.11.2005;-1.32698844055009
62292;31.12.2005;2.47411980804372
62292;31.01.2006;-11.0575973285385
62292;28.02.2006;-0.575553944266858
62292;31.03.2006;6.36332051440433
62292;30.04.2006;1.7479212596809
62292;31.05.2006;5.78207827714804
62292;30.06.2006;7.23772753385366
62292;31.07.2006;8.12817955996912
62292;31.08.2006;10.6385342333995
62292;30.09.2006;7.68330631574845
62292;31.10.2006;7.11200169932057
62292;30.11.2006;4.91330725342005
62292;31.12.2006;8.67300313323905
62292;31.01.2007;-5.11539374377916
62292;28.02.2007;3.87545786061733
62292;31.03.2007;9.80029462933764
62292;30.04.2007;8.26908840056878
62292;31.05.2007;8.57498459192299
62292;30.06.2007;12.291263337464
62292;31.07.2007;11.5134288419916
62292;31.08.2007;13.504128747565
62292;30.09.2007;11.5272291230554
62292;31.10.2007;14.0918262075298
62292;30.11.2007;6.64218490238821
62292;31.12.2007;8.96866229077522
62292;31.01.2008;-4.05144821122146
62292;29.02.2008;8.59333050965382
62292;31.03.2008;8.91448081295153
62292;30.04.2008;9.41023460009136
62292;31.05.2008;7.54269733938148
62292;30.06.2008;7.52929884233602
62292;31.07.2008;10.3480792737558
62292;31.08.2008;4.97474425924859
62292;30.09.2008;6.7194098625671
62292;31.10.2008;-13.1943957823749
62292;30.11.2008;-31.3504889030696
62292;31.12.2008;-28.5394721494129
62292;31.01.2009;-41.7671373338251
62292;28.02.2009;-28.4831031879506
62292;31.03.2009;-22.2798003638338
62292;30.04.2009;-22.1938972233036
62292;31.05.2009;-18.2532874723691
62292;30.06.2009;-14.5642925263587
62292;31.07.2009;-12.1558933868006
62292;31.08.2009;-10.8352456192485
62292;30.09.2009;-6.22384747661268
62292;31.10.2009;-6.09873599394249
62292;30.11.2009;-12.0010945976176
62292;31.12.2009;-4.91961321010499
62292;31.01.2010;-18.8998841079628
62292;28.02.2010;-4.55584417316745
62292;31.03.2010;3.92194702874948
62292;30.04.2010;-2.67135474837039
62292;31.05.2010;0.05658038782986
62292;30.06.2010;2.93318173165532
62292;31.07.2010;4.17877739068857
62292;31.08.2010;5.77581872639751
62292;30.09.2010;7.87432760228614
62292;31.10.2010;3.61205981572179
62292;30.11.2010;-0.813879022213787
62292;31.12.2010;1.57386707144248
62292;31.01.2011;-13.0955002700292
62292;28.02.2011;-1.31899333436969
62292;31.03.2011;8.51531861809298
62292;30.04.2011;1.75385411968913
62292;31.05.2011;4.10201093692298
62292;30.06.2011;4.1305672512675
62292;31.07.2011;5.02130508327473
62292;31.08.2011;7.17281701072711
62292;30.09.2011;6.75724088332033
62292;31.10.2011;1.8233501581879
62292;30.11.2011;-0.813032043026707
62292;31.12.2011;1.72979511866914
62292;31.01.2012;-16.6321256355459
62292;29.02.2012;2.36200515974391
62292;31.03.2012;7.38059664931473
62292;30.04.2012;1.6648418721577
62292;31.05.2012;2.52815904759364
62292;30.06.2012;1.72394581708344
62292;31.07.2012;3.00321673840944
62292;31.08.2012;5.51618692713399
62292;30.09.2012;2.73308347820725
62292;31.10.2012;2.73430543141564
62292;30.11.2012;-4.39495120829751
62292;31.12.2012;0.411923842879099
62292;31.01.2013;-13.3071536636385
62292;28.02.2013;-1.53633637067302
62292;31.03.2013;1.02005133353326
62292;30.04.2013;-1.09374119786335
62292;31.05.2013;-2.23131248001196
62292;30.06.2013;-0.880052988800151
62292;31.07.2013;3.48642719233871
62292;31.08.2013;1.17595074554798
62292;30.09.2013;-0.109143841655557
62292;31.10.2013;-0.212857941330669
62292;30.11.2013;-9.75285119188654
62292;31.12.2013;-3.40557962817925
62292;31.01.2014;-15.9044940104058
62292;28.02.2014;-4.16173976247705
62292;31.03.2014;0.424113680028761
62292;30.04.2014;-0.759035784222588
62292;31.05.2014;-4.13329597780207
