,date,Оборот розничной торговли,Индекс потребительских цен,Заработная плата,Занятость населения,Импорт,Индикатор бизнес климата,Обьем депозитов,"Новостной идекс ЦБ, Россия"
116,2013-10-01,103.2,106.1,106.3,708,28692,4.88978260970057,15945.7,-0.077391898
117,2013-11-01,103.3,106.3,105.4,686,30648,4.35156830541987,15945.7,0.059557212
118,2013-12-01,104.1,106.5,104.1,719,29793,-3.03982351481949,16062.1,0.344164147999999
119,2014-01-01,103.5,106.5,102.7,767,32481,2.97104757807438,16260.8,0.201234529
120,2014-02-01,102.8,106.1,105.2,770,20977,-2.49363888560868,16957.5,-0.034415209
121,2014-03-01,104.3,106.2,104.6,772,24089,8.81641575668547,16689.4,-0.190383869
122,2014-04-01,104.5,106.9,103.8,762,27372,10.775629874422,16908.0,-0.359713861
123,2014-05-01,103.0,107.3,103.2,746,27753,7.46384124867762,16563.9,-0.435737348
124,2014-06-01,102.4,107.6,102.1,721,26159,5.37333781070734,16847.5,0.044413829
125,2014-07-01,101.1,107.8,102.1,692,26745,8.68489670262713,16756.5,0.078807754
126,2014-08-01,101.6,107.5,101.4,687,29153,12.2475514425581,16883.2,-0.329736366
127,2014-09-01,101.6,107.6,98.8,667,25278,4.59569861093595,17111.8,-0.761372088
128,2014-10-01,101.8,108.0,101.5,626,26037,6.48503430630802,17271.2,-0.595116797
129,2014-11-01,101.7,108.3,100.6,635,26785,3.50855240240597,17297.5,-1.001335008
130,2014-12-01,101.9,109.1,98.8,663,23072,-5.818264438158,17685.4,-0.974402101
131,2015-01-01,105.1,111.4,96.0,724,24457,-2.1570070653122,18087.1,-1.551464015
132,2015-02-01,95.6,115.0,91.6,749,12156,-8.73467092416067,18552.7,-1.756337226
133,2015-03-01,92.5,116.7,92.6,807,15418,2.57227603997615,19328.7,-1.972269835
134,2015-04-01,91.0,116.9,89.4,820,17082,6.96349276892443,19077.3,-1.53792343099999
135,2015-05-01,90.1,116.4,90.4,826,16170,4.78593484548762,19092.9,-0.836182711
136,2015-06-01,90.5,115.8,92.6,811,15290,3.18704135430957,19132.8,-0.845598354
137,2015-07-01,90.3,115.3,91.4,788,16221,5.40050446455982,19383.2,-0.628935402
138,2015-08-01,90.4,115.6,90.8,798,16763,5.27422704384489,19892.3,-0.761690482
139,2015-09-01,90.5,115.8,91.0,779,16232,1.82372696591159,20402.6,-1.678045848
140,2015-10-01,89.3,115.7,89.6,742,16831,1.19039052135784,21121.7,-1.167661566
141,2015-11-01,88.7,115.6,89.5,741,16917,1.31549730391987,21214.9,-1.21505909
