dataset;date;Просроченная задолженность по заработной плате на начало месяца, Россия: млн. рублей
86369;30.04.2019;2920
86369;31.05.2019;2901
86369;30.06.2019;2949
86369;31.07.2019;2570
86369;31.08.2019;2753
86369;30.09.2019;2605
86369;31.10.2019;2555
86369;30.11.2019;2638
86369;31.12.2019;2908
86369;31.01.2020;2114
86369;29.02.2020;2251
86369;31.03.2020;2207
86369;30.04.2020;2153
86369;31.05.2020;2209
86369;30.06.2020;2416
86369;31.07.2020;2194
86369;31.08.2020;2177
86369;30.09.2020;1835
86369;31.10.2020;1828
86369;30.11.2020;1870
86369;31.12.2020;1898
86369;31.01.2021;1628
86369;28.02.2021;1872
86369;31.03.2021;1805
86369;30.04.2021;1730
86369;31.05.2021;1552
86369;30.06.2021;1585
86369;31.07.2021;1511
86369;31.08.2021;1538
86369;30.09.2021;1327
86369;31.10.2021;1369
86369;30.11.2021;1344
86369;31.12.2021;1257
86369;31.01.2022;786
86369;28.02.2022;915
86369;31.03.2022;931
86369;30.04.2022;1008
86369;31.05.2022;889
86369;30.06.2022;890
86369;31.07.2022;802
86369;31.08.2022;732
86369;30.09.2022;845
86369;31.10.2022;942
86369;30.11.2022;884
86369;31.12.2022;1029
86369;31.01.2023;643
86369;28.02.2023;799
86369;31.03.2023;771
86369;30.04.2023;749
86369;31.05.2023;695
86369;30.06.2023;638
86369;31.07.2023;565
86369;31.08.2023;444
86369;30.09.2023;430
86369;31.10.2023;376
86369;30.11.2023;460
86369;31.12.2023;433
86369;31.01.2024;347
86369;29.02.2024;351
86369;31.03.2024;433
86369;30.04.2024;333
86369;31.05.2024;306.7
86369;30.06.2024;366.5
