dataset;date;Индекс промышленного производства, Россия: ежемесячные данные|в % к соответствующему периоду предыдущего года
62298;31.08.2016;102.2
62298;30.09.2016;102.5
62298;31.10.2016;103
62298;30.11.2016;105.2
62298;31.12.2016;103.9
62298;31.01.2017;106.6
62298;28.02.2017;101.6
62298;31.03.2017;103.6
62298;30.04.2017;104.3
62298;31.05.2017;106.3
62298;30.06.2017;105.5
62298;31.07.2017;104.6
62298;31.08.2017;105.1
62298;30.09.2017;104
62298;31.10.2017;102.3
62298;30.11.2017;101.1
62298;31.12.2017;100.3
62298;31.01.2018;102.7
62298;28.02.2018;103.2
62298;31.03.2018;102.7
62298;30.04.2018;103.2
62298;31.05.2018;103.5
62298;30.06.2018;102.1
62298;31.07.2018;103.5
62298;31.08.2018;102.8
62298;30.09.2018;102.3
62298;31.10.2018;105.3
62298;30.11.2018;104.4
62298;31.12.2018;106.4
62298;31.01.2019;102.7
62298;28.02.2019;104.2
62298;31.03.2019;102.7
62298;30.04.2019;105.2
62298;31.05.2019;101
62298;30.06.2019;103.2
62298;31.07.2019;104.3
62298;31.08.2019;103.9
62298;30.09.2019;105
62298;31.10.2019;104.4
62298;30.11.2019;101.5
62298;31.12.2019;102.6
62298;31.01.2020;101.6
62298;29.02.2020;105.1
62298;31.03.2020;102.8
62298;30.04.2020;95.6
62298;31.05.2020;92.3
62298;30.06.2020;93.4
62298;31.07.2020;94.4
62298;31.08.2020;96.1
62298;30.09.2020;96.5
62298;31.10.2020;94.7
62298;30.11.2020;99
62298;31.12.2020;103.7
62298;31.01.2021;98.2
62298;28.02.2021;97.3
62298;31.03.2021;102.8
62298;30.04.2021;108.8
62298;31.05.2021;112.9
62298;30.06.2021;111.3
62298;31.07.2021;107.7
62298;31.08.2021;105.4
62298;30.09.2021;107.8
62298;31.10.2021;108.2
62298;30.11.2021;107.8
62298;31.12.2021;107.5
62298;31.01.2022;109.1
62298;28.02.2022;106.6
62298;31.03.2022;103.6
62298;30.04.2022;98.3
62298;31.05.2022;98.7
62298;30.06.2022;98.8
62298;31.07.2022;100.6
62298;31.08.2022;100.9
62298;30.09.2022;98
62298;31.10.2022;98.5
62298;30.11.2022;99.8
62298;31.12.2022;97.8
62298;31.01.2023;97.1
62298;28.02.2023;98
62298;31.03.2023;100.7
62298;30.04.2023;104.9
62298;31.05.2023;106.5
62298;30.06.2023;105.7
62298;31.07.2023;105
62298;31.08.2023;105.6
62298;30.09.2023;105.7
62298;31.10.2023;105.3
62298;30.11.2023;104.5
62298;31.12.2023;102.7
62298;31.01.2024;104.6
62298;29.02.2024;108.5
62298;31.03.2024;104
62298;30.04.2024;103.9
